Date_2017,Time,Hour,Site kWh,HOEP ($/MW),Ontario Demand (GW),Main $,FAM $,Site $,Weekday,kW_15
"Sunday, January 01, 2017",1:00,1,4428,0,13522,0.00,0.00,0.00,Sun,17712
"Sunday, January 01, 2017",2:00,2,4419,0,13117,0.00,0.00,0.00,Sun,17676
"Sunday, January 01, 2017",3:00,3,4429,0,12816,0.00,0.00,0.00,Sun,17716
"Sunday, January 01, 2017",4:00,4,4404,0,12605,0.00,0.00,0.00,Sun,17616
"Sunday, January 01, 2017",5:00,5,4408,0,12563,0.00,0.00,0.00,Sun,17632
"Sunday, January 01, 2017",6:00,6,4421,0,12544,0.00,0.00,0.00,Sun,17684
"Sunday, January 01, 2017",7:00,7,4447,0,12758,0.00,0.00,0.00,Sun,17788
"Sunday, January 01, 2017",8:00,8,4419,1.71,13065,6.94,0.65,7.59,Sun,17676
"Sunday, January 01, 2017",9:00,9,4369,0,13367,0.00,0.00,0.00,Sun,17476
"Sunday, January 01, 2017",10:00,10,4365,0,13644,0.00,0.00,0.00,Sun,17460
"Sunday, January 01, 2017",11:00,11,4350,0.82,13728,3.27,0.31,3.58,Sun,17400
"Sunday, January 01, 2017",12:00,12,4361,0,13555,0.00,0.00,0.00,Sun,17444
"Sunday, January 01, 2017",13:00,13,4359,0,13567,0.00,0.00,0.00,Sun,17436
"Sunday, January 01, 2017",14:00,14,4338,0,13441,0.00,0.00,0.00,Sun,17352
"Sunday, January 01, 2017",15:00,15,4355,0.95,13442,3.80,0.35,4.15,Sun,17420
"Sunday, January 01, 2017",16:00,16,4366,6.44,13926,25.82,2.41,28.23,Sun,17464
"Sunday, January 01, 2017",17:00,17,4376,1.31,14942,5.26,0.49,5.76,Sun,17504
"Sunday, January 01, 2017",18:00,18,4412,12.3,16279,49.81,4.67,54.48,Sun,17648
"Sunday, January 01, 2017",19:00,19,4422,19.65,16313,79.73,7.51,87.24,Sun,17688
"Sunday, January 01, 2017",20:00,20,4413,6.26,16018,25.35,2.39,27.74,Sun,17652
"Sunday, January 01, 2017",21:00,21,4470,12.97,15787,53.25,4.95,58.21,Sun,17880
"Sunday, January 01, 2017",22:00,22,4519,12.98,15275,53.92,4.97,58.89,Sun,18076
"Sunday, January 01, 2017",23:00,23,4449,12.98,14615,52.98,5.00,57.98,Sun,17796
"Monday, January 02, 2017",0:00,24,4477,40.95,13847,166.82,17.24,184.06,Sun,17908
"Monday, January 02, 2017",1:00,25,4485,17.58,13274,71.62,7.54,79.16,Mon,17940
"Monday, January 02, 2017",2:00,26,4496,22.08,13020,90.12,9.54,99.66,Mon,17984
"Monday, January 02, 2017",3:00,27,4476,6.44,12780,26.29,2.65,28.94,Mon,17904
"Monday, January 02, 2017",4:00,28,4461,0,12669,0.00,0.00,0.00,Mon,17844
"Monday, January 02, 2017",5:00,29,5228,0,12746,0.00,0.00,0.00,Mon,20912
"Monday, January 02, 2017",6:00,30,6550,-0.75,13027,-4.49,-0.44,-4.93,Mon,26200
"Monday, January 02, 2017",7:00,31,7470,-0.25,13583,-1.71,-0.16,-1.87,Mon,29880
"Monday, January 02, 2017",8:00,32,8458,-0.25,14408,-1.91,-0.21,-2.12,Mon,33832
"Monday, January 02, 2017",9:00,33,8781,0,14614,0.00,0.00,0.00,Mon,35124
"Monday, January 02, 2017",10:00,34,9157,0,14630,0.00,0.00,0.00,Mon,36628
"Monday, January 02, 2017",11:00,35,9461,0,14535,0.00,0.00,0.00,Mon,37844
"Monday, January 02, 2017",12:00,36,9328,4.67,14501,39.40,4.33,43.73,Mon,37312
"Monday, January 02, 2017",13:00,37,9317,13.67,14509,115.33,12.54,127.86,Mon,37268
"Monday, January 02, 2017",14:00,38,9390,14.37,14528,122.39,13.08,135.46,Mon,37560
"Monday, January 02, 2017",15:00,39,9132,18.22,14879,150.64,16.40,167.04,Mon,36528
"Monday, January 02, 2017",16:00,40,9373,13.73,15462,116.83,12.37,129.20,Mon,37492
"Monday, January 02, 2017",17:00,41,9456,5.61,16443,48.19,5.07,53.26,Mon,37824
"Monday, January 02, 2017",18:00,42,9353,5.83,17711,49.42,5.32,54.74,Mon,37412
"Monday, January 02, 2017",19:00,43,9232,5.92,17411,49.47,5.40,54.87,Mon,36928
"Monday, January 02, 2017",20:00,44,9161,12.33,17173,101.65,11.75,113.40,Mon,36644
"Monday, January 02, 2017",21:00,45,9230,13.03,16782,108.25,12.48,120.74,Mon,36920
"Monday, January 02, 2017",22:00,46,9100,72.01,16310,589.00,68.84,657.84,Mon,36400
"Monday, January 02, 2017",23:00,47,8981,119.21,15439,963.58,111.22,1074.80,Mon,35924
"Tuesday, January 03, 2017",0:00,48,8908,8.87,14325,71.20,8.12,79.32,Mon,35632
"Tuesday, January 03, 2017",1:00,49,9110,8.47,13642,69.82,7.64,77.46,Tue,36440
"Tuesday, January 03, 2017",2:00,50,9061,4.57,13302,37.42,4.15,41.57,Tue,36244
"Tuesday, January 03, 2017",3:00,51,8756,0.48,13050,3.78,0.44,4.22,Tue,35024
"Tuesday, January 03, 2017",4:00,52,8612,0,12983,0.00,0.00,0.00,Tue,34448
"Tuesday, January 03, 2017",5:00,53,8709,0,13044,0.00,0.00,0.00,Tue,34836
"Tuesday, January 03, 2017",6:00,54,8837,6.47,13552,51.47,5.93,57.40,Tue,35348
"Tuesday, January 03, 2017",7:00,55,9519,8.4,14737,72.22,8.06,80.27,Tue,38076
"Tuesday, January 03, 2017",8:00,56,10079,29.18,16068,267.52,27.75,295.27,Tue,40316
"Tuesday, January 03, 2017",9:00,57,10103,67.66,16476,621.38,64.89,686.26,Tue,40412
"Tuesday, January 03, 2017",10:00,58,10162,14.36,16923,133.15,13.35,146.50,Tue,40648
"Tuesday, January 03, 2017",11:00,59,10084,27.36,17231,251.93,25.06,276.99,Tue,40336
"Tuesday, January 03, 2017",12:00,60,10909,90.55,17510,909.44,82.31,991.75,Tue,43636
"Tuesday, January 03, 2017",13:00,61,11212,68.81,17448,712.66,61.93,774.59,Tue,44848
"Tuesday, January 03, 2017",14:00,62,11160,14.35,17494,147.93,12.86,160.79,Tue,44640
"Tuesday, January 03, 2017",15:00,63,11135,13.66,17557,140.60,12.12,152.71,Tue,44540
"Tuesday, January 03, 2017",16:00,64,11326,13.72,17629,143.97,12.05,156.02,Tue,45304
"Tuesday, January 03, 2017",17:00,65,11234,19.92,18121,207.11,17.57,224.68,Tue,44936
"Tuesday, January 03, 2017",18:00,66,11167,26.59,18981,273.25,24.86,298.12,Tue,44668
"Tuesday, January 03, 2017",19:00,67,11177,29.94,18626,307.92,28.05,335.97,Tue,44708
"Tuesday, January 03, 2017",20:00,68,11166,39.94,18359,410.77,36.98,447.75,Tue,44664
"Tuesday, January 03, 2017",21:00,69,11249,42.77,17918,444.00,39.05,483.04,Tue,44996
"Tuesday, January 03, 2017",22:00,70,11027,18.28,17254,186.24,16.14,202.38,Tue,44108
"Tuesday, January 03, 2017",23:00,71,11061,6.62,16077,67.71,5.81,73.52,Tue,44244
