Account,Date,Channel,Units,0:00,0:05,0:10,0:15,Mean_15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,Mean_1_15,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55:00
27797850024,1/1/2016,605112205 1 kWh,kWh,6.885,6.363,6.093,6.768,25.632,7.11,7.289999,7.398,6.714,7.497,6.3,7.2,5.949,6.993,35.13599969,6.453,7.209,7.209,6.768,7.308,6.506999,7.785,6.795,6.363,6.048,6.786,7.407,7.011,7.515,6.003,6.894,6.561,6.435,7.191,6.723,6.947999,6.579,6.813,6.633,7.542,7.416,6.453,6.776999,5.94,7.128,6.426,7.11,6.48,6.795,6.831,6.624,6.525,5.823,6.219,6.822,6.984,6.633,6.516,7.038,6.335999,7.074,6.237,5.94,6.174,6.57,6.867,7.146,7.452,6.363,6.975,6.228,6.723,6.255,6.372,7.559999,6.48,7.289999,6.696,8.063999,6.776999,6.813,8.054999,6.552,6.804,6.93,7.47,7.2,6.597,7.443,7.074,8.289,7.236,7.38,5.913,7.209,6.822,6.921,6.993,6.876,7.533,6.444,6.525,5.85,6.786,6.975,6.776999,6.705,5.976,7.479,7.236,6.677999,6.642,6.795,7.416,6.642,6.453,6.57,7.398,7.713,6.219,5.931,5.85,8.063999,8.802,8.721,7.281,6.651,6.318,6.453,7.38,8.262,7.901999,7.641,6.399,7.38,7.515,8.289,6.912,6.408,6.435,7.146,7.938,7.839,7.866,7.083,6.776999,7.326,6.444,6.741,6.246,6.776999,7.587,6.687,6.669,6.651,6.696,6.624,5.607,6.282,6.705,7.407,7.011,6.876,6.408,6.372,7.065,6.372,6.066,6.498,6.849,7.038,6.102,6.084,5.778,5.913,5.895,6.66,6.506999,5.868,6.335999,6.624,6.498,6.705,5.571,5.94,5.931,6.912,6.677999,6.732,6.462,6.57,6.813,6.129,5.913,7.056,7.137,7.631999,6.849,7.829999,7.794,8.163,7.002,6.534,6.506999,7.011,8.028,6.462,6.426,7.092,7.713,5.994,5.796,6.506999,6.903,7.74,6.677999,6.947999,6.489,7.407,6.282,6.156,6.624,7.839,7.533,6.858,6.615,7.155,7.866,7.083,6.147,5.913,6.776999,7.658999,6.588,7.281,6.831,7.335,6.489,5.742,5.967,6.696,7.191,6.768,5.994,6.506999,7.335,8.217,6.849,6.858,5.751,6.318,6.219,6.597,7.056,7.263,6.786,6.453,6.237,6.318,6.705,7.452,6.462,6.219,5.769,6.822,6.687,6.48,6.588,7.236,7.326,6.677999,6.273,6.372,6.921,7.065,6.138,5.895,6.444,7.362,6.335999,6.696,6.606,6.831,7.362,6.677999,6.363,6.408,6.822,6.858,6.309
27797850024,1/2/2016,605112205 1 kWh,kWh,5.976,5.76,6.677999,7.047,25.97999867,6.867,7.02,6.867,6.471,6.291,6.561,6.741,6.498,6.93,34.36523005,6.543,6.66,6.372,6.552,6.471,6.804,6.183,6.273,6.39,6.804,6.372,6.543,6.453,6.912,6.561,6.561,6.228,6.57,6.579,6.984,6.66,6.66,6.291,6.885,6.615,6.795,6.957,6.714,5.49,5.832,6.255,7.704,6.633,6.579,6.516,6.372,6.327,6.912,6.651,6.993,6.318,6.579,6.264,6.372,6.723,6.813,6.498,6.318,6.633,6.426,6.768,6.939,7.047,5.94,5.805,7.263,8.153999,6.741,6.804,6.525,6.498,6.633,6.318,6.885,7.227,7.047,6.687,6.516,6.867,6.677999,6.714,7.056,7.217999,6.525,6.174,6.597,6.597,7.794,7.083,6.885,6.273,6.795,6.732,6.228,6.534,6.597,7.002,6.264,5.922,6.966,6.651,7.101,6.696,6.768,6.012,6.165,5.796,7.236,7.074,6.831,6.3,5.904,6.831,5.976,5.886,6.372,6.264,6.966,6.506999,6.831,6.543,6.975,6.561,6.381,6.417,5.877,6.408,5.859,5.904,6.354,6.633,6.291,5.706,6.264,6.489,6.237,6.183,6.363,6.435,5.688,5.67,5.949,6.849,6.246,6.237,5.85,5.769,6.579,5.679,6.156,6.048,6.579,6.138,5.94,5.922,5.931,7.038,6.048,5.832,5.769,5.715,6.327,5.445,6.102,6.093,7.353,6.147,6.237,6.012,6.291,6.804,6.192,5.508,5.841,7.038,6.399,6.471,6.939,6.309,7.425,5.841,6.003,6.021,6.228,6.759,6.057,6.318,6.291,6.894,7.551,6.957,6.677999,6.102,6.579,6.039,7.029,6.849,6.57,6.776999,6.867,6.759,7.236,7.533,7.038,6.183,6.093,6.687,7.317,7.038,7.479,6.399,7.559999,6.858,6.732,7.236,6.588,7.038,6.21,6.741,6.732,6.759,7.829999,6.75,6.84,6.417,7.146,6.597,6.39,6.264,6.561,6.498,6.381,6.39,6.804,7.515,6.858,6.516,6.543,6.993,6.696,6.3,6.318,6.372,7.092,6.372,6.345,6.921,7.155,7.794,6.776999,6.417,6.804,6.831,6.489,6.282,6.939,6.381,6.759,6.759,7.191,7.227,6.696,6.489,6.426,6.84,6.669,6.219,6.444,6.642,6.741,6.57,6.957,7.217999,6.867,6.3,6.435,6.552,6.921,6.3,6.579,6.048,6.588,6.147,6.318,6.831
27797850024,1/3/2016,605112205 1 kWh,kWh,6.651,6.354,6.426,6.192,25.296,6.606,6.273,6.201,6.039,5.949,6.264,6.219,6.48,6.75,33.13846154,6.75,6.669,6.246,6.335999,6.372,6.912,5.967,6.282,6.021,6.57,6.246,6.327,6.345,6.381,6.489,6.471,6.138,6.264,6.201,6.12,5.877,6.444,6.093,6.335999,6.093,6.597,6.894,6.93,5.796,5.94,6.354,6.552,6.786,6.066,5.823,5.913,6.506999,6.471,6.723,6.912,6.696,6.417,6.156,6.363,6.039,6.975,6.489,5.724,7.326,6.12,6.471,6.597,6.714,7.74,6.408,6.381,6.426,7.263,6.732,6.615,6.606,6.138,6.858,6.471,6.741,6.705,6.534,6.12,5.76,6.768,7.029,7.578,6.318,6.75,6.66,7.074,6.642,6.66,6.66,6.426,6.579,6.597,6.264,6.165,6.696,6.084,6.192,6.498,6.408,7.209,6.696,6.705,5.454,5.904,5.994,6.534,6.804,6.705,5.886,6.642,6.579,6.363,6.147,6.075,5.949,5.958,6.282,7.118999,6.849,6.903,5.508,5.787,6.345,6.273,6.831,6.12,5.427,5.805,5.814,6.84,5.967,5.859,5.589,6.381,7.460999,7.326,6.651,6.129,5.922,6.201,5.814,5.985,6.228,6.534,6.039,5.931,5.589,5.805,6.12,6.12,5.967,5.958,5.859,5.76,6.003,6.057,5.859,6.183,6.561,6.408,6.426,6.075,6.12,5.571,5.04,6.084,6.129,6.183,6.453,6.12,5.724,6.192,6.966,7.092,6.291,5.94,5.562,6.237,5.553,6.651,6.48,6.786,6.57,6.408,5.823,6.048,6.066,6.183,6.399,6.408,6.48,6.921,6.993,7.362,6.057,5.931,6.174,6.516,6.759,6.966,7.497,7.002,6.417,6.48,5.877,6.768,6.651,7.011,6.795,6.741,7.776,6.677999,6.75,6.435,6.363,5.841,6.687,7.217999,7.074,7.785,6.381,6.759,6.426,6.867,7.596,7.191,6.354,6.741,6.579,7.488,6.984,7.029,6.66,6.506999,6.192,6.453,7.371,6.84,6.714,6.624,6.615,6.633,6.813,6.84,5.868,5.697,6.408,6.867,7.074,7.002,6.417,6.615,6.57,6.714,6.633,6.192,5.742,6.111,6.543,6.543,6.291,7.047,6.444,6.633,6.408,6.588,6.471,6.084,6.219,6.345,6.444,6.561,6.696,6.525,6.651,6.741,6.651,6.506999,6.246,6.624,5.823,6.444,6.39,6.768,6.498
27797850024,1/4/2016,605112205 1 kWh,kWh,6.453,6.543,6.588,6.723,26.472,6.579,5.895,6.335999,5.958,6.354,6.732,6.525,6.21,6.642,33.84923046,6.39,6.876,6.677999,6.867,5.94,6.714,6.246,6.426,6.03,6.39,6.273,6.354,6.462,6.543,6.606,6.471,6.354,6.677999,6.453,5.886,5.733,6.435,6.48,6.354,6.084,6.435,6.255,6.633,6.912,6.633,6.183,6.084,5.769,5.814,6.201,6.786,6.335999,6.444,6.543,6.606,6.633,7.497,6.723,6.624,5.472,6.066,5.697,7.002,6.732,6.831,6.3,6.966,6.912,6.651,7.344,8.297999,6.768,6.399,6.3,7.164,7.101,7.236,7.137,7.245,7.056,8.037,7.254,7.686,7.776,8.153999,7.299,6.993,6.93,7.47,8.271,7.551,7.695,7.236,6.894,7.443,7.092,7.371,7.299,6.615,7.227,7.029,7.029,7.263,7.299,8.082,6.723,7.362,6.714,7.416,7.38,7.118999,7.515,7.308,8.271,7.083,7.155,7.289999,7.893,7.65,7.11,6.921,6.912,6.75,6.687,7.182,6.597,6.867,6.822,7.326,7.335,6.687,6.66,6.894,7.092,7.074,6.93,6.813,6.696,7.056,7.101,7.452,6.984,7.344,7.101,6.921,6.498,7.254,6.858,7.11,6.723,6.291,6.93,7.002,6.705,6.776999,7.65,6.993,7.118999,7.029,7.092,7.515,7.118999,6.48,6.444,6.786,6.506999,6.966,6.624,7.677,7.2,6.776999,6.354,6.525,6.939,7.460999,6.435,6.282,5.922,6.633,6.633,7.074,6.993,7.506,6.741,6.561,6.957,7.011,6.705,7.326,6.885,7.281,7.173,6.93,6.723,7.118999,7.407,7.533,7.155,7.074,7.092,7.164,7.524,8.289,8.198999,8.145,8.289,7.2,7.821,7.515,7.479,7.749,7.38,8.063999,7.02,7.029,7.164,7.559999,8.829,8.108999,7.776,6.984,7.137,8.118,7.434,7.542,6.966,7.236,7.848,7.245,7.272,7.695,7.299,7.668,7.749,7.011,7.083,7.281,7.559999,7.839,6.849,7.335,7.460999,7.713,8.063999,7.695,7.281,7.596,7.713,7.695,7.434,7.695,7.515,7.965,8.297999,6.912,6.947999,7.083,7.434,7.911,7.587,7.497,6.849,7.083,7.515,7.938,7.326,7.452,7.353,7.281,7.263,7.245,7.146,7.515,7.254,7.821,7.308,7.092,6.975,6.849,7.794,7.749,7.875,7.362,6.867,7.092,7.335,7.217999,7.398,7.146,7.452
27797850024,1/5/2016,605112205 1 kWh,kWh,7.686,7.217999,7.092,6.993,28.40399867,7.11,7.344,7.767,7.515,7.281,6.975,6.831,7.137,7.289999,37.73630667,7.658999,7.416,7.164,7.2,7.289999,7.506,7.155,7.038,7.335,7.272,7.758,7.893,7.227,6.858,6.957,7.047,7.695,7.829999,7.821,7.083,7.217999,7.173,7.254,7.011,7.281,7.209,7.065,7.289999,7.092,7.749,8.639999,7.730999,7.839,7.488,6.822,6.776999,6.849,7.596,7.767,7.559999,7.901999,7.542,7.506,7.254,7.281,7.317,7.308,7.299,7.551,7.335,7.263,7.326,7.182,7.578,7.730999,8.207999,8.054999,7.569,7.730999,7.848,7.623,8.334,8.721,8.667,8.325,7.983,8.297999,8.082,8.099999,8.181,8.703,8.955,8.73,7.901999,8.172,7.965,7.434,8.738999,8.577,7.893,7.146,6.939,7.533,6.921,7.992,7.730999,7.254,7.947,7.713,7.388999,7.488,7.857,8.000999,8.091,7.730999,8.504999,8.181,8.487,8.009999,7.785,7.947,7.658999,7.74,7.587,7.137,6.831,6.759,7.047,7.559999,7.884,7.217999,7.137,6.786,6.894,6.984,6.984,7.236,7.47,7.730999,7.677,7.614,7.155,6.677999,6.633,6.93,7.425,7.677,7.488,7.308,6.939,7.164,7.146,6.804,7.137,7.658999,7.857,7.281,6.93,6.156,6.624,7.002,6.669,7.182,7.281,7.542,7.263,6.633,6.552,6.858,6.813,6.947999,7.191,6.984,6.903,6.66,7.281,7.388999,6.939,6.894,7.479,7.641,7.983,7.263,6.741,7.308,7.092,6.849,6.93,7.029,7.559999,7.668,7.362,7.497,7.272,6.921,6.894,6.363,6.776999,7.137,7.227,7.695,8.198999,7.821,7.452,7.794,7.658999,7.587,7.479,7.677,7.821,7.623,8.217,7.857,7.641,7.631999,7.983,9.009,8.667,8.631,8.351999,7.776,8.037,7.848,7.767,7.695,7.398,8.019,8.514,8.379,8.127,7.928999,8.127,7.776,7.802999,7.605,7.460999,7.686,7.056,7.488,7.730999,7.47,7.812,7.569,7.398,7.821,7.092,7.533,7.209,7.506,7.578,7.65,7.901999,7.407,7.533,7.371,6.966,7.452,7.407,7.398,7.74,7.559999,7.578,7.425,7.47,7.227,7.2,7.884,7.353,6.831,7.137,7.452,7.614,7.515,7.38,7.289999,7.425,7.578,7.767,7.371,7.749,7.353,7.317,7.658999,7.245,7.425,7.272,7.497,7.956,7.182,7.371,6.804,6.849,7.416,7.164,7.209
27797850024,1/6/2016,605112205 1 kWh,kWh,7.335,7.02,7.272,7.569,29.148,7.047,7.452,7.137,7.353,7.317,7.425,7.326,7.371,7.254,38.16184615,7.317,7.388999,7.353,7.056,6.939,7.101,7.236,7.425,7.263,7.497,7.371,7.515,7.353,8.316,7.776,7.605,6.93,7.047,6.876,7.173,7.281,7.730999,7.254,7.299,7.317,7.371,7.362,7.128,7.182,6.957,7.299,7.245,7.956,7.407,7.407,7.137,6.795,7.029,7.254,7.488,7.227,6.957,7.083,7.191,7.631999,7.460999,7.2,7.217999,6.831,6.669,7.326,7.299,7.74,7.569,7.443,8.342999,7.893,7.596,7.74,8.009999,8.252999,7.92,8.163,8.163,8.297999,8.585999,8.082,7.947,8.28,8.252999,8.469,7.829999,8.009999,7.947,8.153999,8.829,8.063999,7.758,7.74,7.686,7.767,7.623,7.47,8.271,8.063999,7.587,8.667,7.956,8.342999,7.829999,7.938,7.614,7.596,8.207999,7.460999,7.460999,8.297999,7.416,7.722,7.209,7.344,7.614,7.802999,8.217,7.713,7.362,6.957,6.669,6.831,6.947999,7.398,6.966,7.677,8.226,7.308,6.714,7.038,6.651,7.353,6.543,7.056,7.227,6.471,6.705,6.354,6.822,7.299,7.308,7.866,6.921,7.155,7.173,6.903,7.901999,7.289999,8.441999,7.308,7.047,7.209,6.804,7.614,6.677999,7.236,6.579,6.714,7.623,6.894,7.164,6.93,6.66,7.344,6.273,6.993,6.309,6.246,6.993,6.714,7.038,6.651,6.48,6.741,6.165,7.047,6.966,7.344,7.524,6.381,6.696,6.12,6.417,6.885,7.047,7.587,6.867,7.281,6.885,6.57,6.867,6.552,7.677,7.704,6.903,7.587,7.236,7.965,7.866,7.956,7.938,7.029,7.362,6.831,7.794,7.65,7.335,8.514,7.434,8.523,6.858,7.460999,8.325,7.353,7.704,7.164,7.164,8.316,6.453,7.559999,7.425,7.974,8.136,7.938,8.099999,7.578,7.848,8.063999,7.272,6.786,6.669,7.901999,7.488,7.901999,7.353,6.885,7.559999,7.551,7.668,6.66,6.822,7.272,6.417,7.658999,6.885,6.642,7.524,7.217999,7.829999,7.371,7.443,7.47,6.975,7.614,7.443,7.713,7.730999,6.759,6.624,6.93,7.245,7.533,7.460999,8.271,7.299,7.839,6.543,6.966,7.074,7.164,7.605,7.118999,6.687,6.246,6.651,7.641,7.038,7.74,7.479,7.191,7.281,6.606,7.289999,7.118999,7.443,7.308,7.371,7.362
27797850024,1/7/2016,605112205 1 kWh,kWh,6.894,7.164,6.579,6.804,27.396,7.857,6.84,7.460999,7.038,6.947999,7.317,6.372,7.002,6.947999,36.49846062,7.191,7.623,7.065,7.38,6.453,6.786,7.686,7.344,7.434,7.074,6.579,7.38,6.201,7.118999,6.921,6.885,7.407,6.723,7.047,6.993,6.615,6.912,6.741,7.02,7.407,6.858,7.128,6.768,6.867,6.669,6.552,7.371,6.804,7.524,6.489,6.813,7.128,6.615,7.2,6.776999,7.038,7.578,6.885,9.045,6.399,6.579,6.966,6.993,7.749,7.128,7.479,6.741,7.236,7.11,7.173,8.172,7.460999,8.153999,7.209,7.533,7.614,7.038,7.839,7.866,7.901999,7.812,7.38,7.956,7.515,8.073,7.730999,8.379,7.515,7.542,7.335,7.578,7.388999,7.047,6.876,7.128,7.209,7.524,7.011,7.335,7.452,7.236,6.966,6.912,6.93,6.795,7.083,10.610999,12.077999,13.787999,13.886999,14.804999,13.940999,13.374,8.846999,8.091,7.227,6.957,6.723,7.092,6.876,7.101,6.768,6.453,6.309,6.399,6.57,6.822,6.561,6.633,6.111,6.426,6.093,6.66,6.813,6.57,6.462,6.417,6.633,6.363,6.624,6.786,6.57,6.453,6.318,6.57,6.776999,7.11,6.831,7.065,6.309,6.129,5.994,6.327,6.147,6.642,6.228,6.201,6.03,6.237,6.075,6.273,6.426,6.975,6.291,6.039,5.607,6.75,6.858,6.453,5.895,6.183,6.543,6.57,6.795,6.426,6.048,6.561,6.426,7.164,7.047,6.984,6.417,6.228,5.94,6.831,7.137,7.002,6.894,6.858,5.904,6.39,5.742,6.714,6.813,7.425,6.966,6.795,7.083,6.3,6.372,6.696,6.957,7.029,6.885,7.173,6.48,7.002,7.182,7.173,6.309,7.785,8.648999,8.802,8.054999,7.299,8.118,8.207999,8.271,6.975,6.651,6.776999,6.354,7.074,6.921,7.353,6.741,6.984,7.074,7.893,7.128,6.489,6.291,7.092,7.2,7.155,7.686,7.362,6.642,7.308,6.858,7.299,6.363,6.606,5.958,6.498,7.056,7.128,6.993,6.696,6.506999,6.282,7.065,7.983,7.515,6.732,6.399,6.921,6.939,6.723,7.002,7.559999,7.272,7.137,6.804,6.786,6.75,6.957,6.642,6.309,6.075,6.75,6.975,6.696,7.155,6.885,6.867,7.047,6.498,6.534,6.858,7.101,6.309,6.335999,6.453,6.3,7.704,7.074,6.714,6.75,6.75
27797850024,1/8/2016,605112205 1 kWh,kWh,6.552,6.183,6.327,5.976,24.648,6.453,5.886,6.219,6.506999,7.011,6.831,6.633,6.165,6.39,33.16338431,6.183,6.525,5.949,6.165,5.832,6.183,6.345,7.164,6.75,6.309,6.435,6.174,5.985,6.372,6.318,5.913,6.102,6.732,6.3,6.372,6.489,6.615,6.201,6.192,6.228,5.715,5.463,6.624,6.696,6.156,6.102,6.776999,6.435,6.183,6.426,6.498,6.426,6.156,5.85,5.625,6.291,6.39,6.174,6.12,6.723,7.217999,6.174,6.786,6.183,6.498,6.075,6.597,7.146,7.371,8.046,6.588,6.506999,7.614,6.867,7.802999,7.686,8.054999,6.759,6.768,7.118999,7.677,7.542,7.191,7.164,6.579,7.101,7.956,7.74,7.128,7.749,8.073,7.559999,7.317,7.263,7.479,6.714,6.947999,6.408,6.939,7.191,7.388999,7.38,6.921,7.254,7.452,9.287999,10.035,9.882,11.492999,12.447,12.24,12.492,12.789,12.302999,13.167,13.589999,14.849999,14.112,15.155999,13.32,9.188999,6.867,6.417,6.048,6.687,7.118999,6.93,7.209,7.065,7.281,6.984,6.579,6.597,6.318,8.622,8.054999,7.407,6.264,6.435,7.083,8.163,6.606,6.75,6.273,7.155,5.904,6.309,6.606,6.759,7.047,7.38,6.435,6.813,6.579,6.831,5.292,6.021,6.066,6.75,7.434,6.444,6.318,6.372,6.138,6.849,6.003,6.147,5.796,6.174,6.795,7.578,6.606,7.118999,6.111,6.084,6.165,5.985,6.335999,6.813,6.57,7.272,6.588,6.381,6.444,6.786,7.263,6.561,5.868,6.354,6.57,7.164,8.073,7.164,6.984,7.092,7.011,7.569,7.047,6.714,6.894,7.398,8.153999,7.164,7.083,6.885,7.236,7.677,7.02,7.263,6.75,6.741,7.056,7.289999,6.903,7.092,7.173,7.335,8.091,7.533,7.2,7.083,7.155,7.308,6.984,6.506999,6.813,7.011,6.804,6.947999,6.858,7.155,7.182,7.515,6.885,6.291,5.733,6.795,7.452,7.101,6.075,6.39,6.453,7.631999,7.829999,7.092,6.597,6.516,6.12,7.236,7.938,6.849,6.705,6.642,6.489,6.984,7.785,7.056,5.931,6.291,6.129,6.912,7.605,7.308,6.408,6.525,6.75,7.289999,7.047,7.128,6.534,6.381,6.471,6.624,7.641,7.928999,7.821,8.019,6.165,6.003,5.796,7.101,7.641,6.947999,6.372,6.273,6.39,7.236,6.776999,6.093,5.724
27797850024,1/9/2016,605112205 1 kWh,kWh,6.471,6.858,7.209,6.966,28.044,6.84,6.714,6.471,6.993,6.552,6.12,6.903,6.966,6.417,35.54584615,7.056,7.191,6.363,6.345,6.111,6.345,6.768,6.335999,6.417,6.615,7.155,7.983,6.345,6.201,5.445,6.48,6.237,6.867,6.543,6.237,7.056,7.002,6.264,5.769,5.985,6.84,6.633,6.291,6.066,6.453,7.11,7.506,5.904,5.67,5.796,6.444,7.2,6.642,6.759,6.399,6.183,7.101,6.138,6.219,6.255,6.426,7.281,6.651,6.318,6.426,6.543,7.425,5.922,6.264,8.054999,6.345,7.371,7.686,7.047,6.048,5.742,5.985,6.768,8.091,6.561,6.597,6.525,7.362,6.876,6.021,6.228,6.642,7.901999,8.289,7.497,6.831,7.146,6.93,7.641,6.228,5.823,6.687,7.209,7.92,6.957,6.444,6.506999,7.128,6.111,6.543,6.633,7.289999,7.695,7.137,6.786,6.633,7.281,7.155,6.408,6.192,6.651,7.857,7.092,6.894,6.435,6.543,6.858,6.39,6.732,7.254,7.398,7.479,5.967,5.877,5.472,7.038,7.227,6.822,6.506999,6.534,6.516,6.354,6.102,6.759,6.759,7.254,6.804,6.822,6.363,6.633,6.822,6.435,6.939,6.48,7.092,7.857,6.426,6.093,6.264,7.559999,7.398,7.281,6.786,6.534,7.326,6.75,6.75,7.038,7.118999,7.416,6.651,6.984,6.426,7.101,6.471,7.128,6.462,6.822,7.506,7.164,5.931,5.985,6.291,7.281,6.57,7.254,7.137,7.596,6.273,5.994,6.381,6.776999,8.163,6.957,6.677999,6.561,6.849,7.289999,6.048,6.246,6.813,7.263,7.559999,7.011,7.146,6.705,7.02,7.056,6.282,7.236,7.344,8.181,6.939,6.831,6.111,6.768,6.921,7.092,6.921,6.506999,7.47,6.921,6.822,6.3,6.462,7.227,6.525,6.408,6.552,6.957,7.893,6.732,6.075,5.85,7.388999,7.596,7.173,6.831,6.453,6.651,7.101,6.318,6.372,6.723,7.155,7.758,7.137,6.39,5.886,6.129,7.587,7.362,6.579,6.642,6.3,6.471,7.182,7.118999,6.102,6.66,6.651,7.74,7.794,7.388999,6.822,5.994,6.435,6.506999,6.723,7.587,6.633,6.335999,6.165,6.219,7.182,6.84,6.966,6.947999,6.489,6.723,7.362,6.354,6.606,6.93,7.452,7.658999,7.173,6.588,6.318,6.012,6.219,7.371,7.182,6.174,6.453
27797850024,1/10/2016,605112205 1 kWh,kWh,6.237,5.967,6.66,6.867,25.992,6.273,6.237,6.183,7.217999,7.839,6.03,5.616,6.066,6.588,33.77630738,6.633,6.543,7.173,6.399,5.742,6.335999,5.913,6.606,7.281,7.308,6.615,6.84,5.805,5.157,5.787,7.272,7.74,6.894,7.065,7.398,6.975,7.056,6.714,7.254,7.254,7.011,6.354,6.506999,6.093,7.65,5.751,6.633,7.146,7.388999,7.533,7.388999,7.191,7.281,6.822,6.75,7.38,6.516,7.182,7.227,7.335,6.768,6.363,6.255,7.092,7.263,7.317,7.173,7.263,7.209,7.137,6.21,6.831,7.452,8.829,9.9,9.332999,9,8.964,10.934999,12.339,14.301,14.112,14.112,13.86,14.058,13.518,13.77,14.021999,14.282999,14.183999,14.49,14.309999,13.922999,14.237999,14.318999,13.994999,13.355999,13.221,13.841999,13.346999,9.243,7.118999,6.219,6.021,5.715,6.759,6.273,6.642,6.66,6.444,6.093,6.12,6.813,7.038,7.686,8.063999,7.137,6.453,5.877,5.697,6.084,7.38,9.054,9.009,8.540999,8.478,9.377999,10.377,11.591999,11.313,10.728,11.61,11.681999,11.294999,11.655,11.556,12.339,10.341,10.08,10.341,10.790999,9.594,9.773999,10.502999,10.250999,9.999,10.988999,10.151999,9.846,9.36,10.358999,10.917,11.132999,11.664,11.844,11.573999,11.061,10.691999,12.176999,10.539,10.997999,10.106999,9.575999,10.151999,9.962999,10.53,10.691999,12.212999,10.764,10.547999,9.99,9.575999,9.422999,10.115999,9.693,9.818999,9.422999,9.224999,9.891,9.710999,9.999,10.403999,9.414,9.108,9.9,10.521,11.087999,11.16,10.304999,9.530999,9.773999,10.007999,10.098,9.612,9.702,10.035,9.431999,10.431,9.377999,9.153,9.530999,9.863999,7.155,6.282,5.184,4.977,5.454,5.886,5.868,6.885,6.282,5.436,5.31,5.175,5.337,5.319,6.102,6.516,6.111,5.661,5.139,5.112,5.625,5.841,6.147,6.354,6.057,5.103,5.319,5.481,5.616,5.652,6.309,5.49,5.265,5.301,5.472,5.607,5.805,5.787,5.76,6.039,5.724,5.526,5.904,5.382,4.761,5.796,5.697,6.057,5.616,5.319,5.112,5.328,5.436,5.913,5.931,6.444,5.22,5.058,5.598,5.409,6.147,6.822,6.282,6.426,5.949,6.066,6.129,6.165,6.255,7.398,8.136,8.865,11.367,12.509999,15.362999,16.370998,17.855999,15.506999,12.726,11.249999,11.106,9.710999,9.27,9.188999,8.540999,8.874,8.181,10.070999
